iter	RMSE
159	1.464468035
160	1.462876539
161	1.461120375
162	1.459558036
163	1.458078851
164	1.456124663
165	1.454308166
166	1.45327164
167	1.45216629
168	1.450788922
169	1.449432128
170	1.447532398
171	1.445930418
172	1.444756971
173	1.442929372
174	1.441465338
175	1.440395813
176	1.439046565
177	1.43800832
178	1.437044673
179	1.436116264
180	1.435053751
181	1.434152757
182	1.432763709
183	1.431566576
184	1.430279895
185	1.429302589
186	1.427174361
187	1.42552501
188	1.424202121
189	1.423217558
190	1.42192701
191	1.420614908
192	1.419611199
193	1.418778189
194	1.417952807
195	1.416347423
196	1.415073992
197	1.414131761
198	1.412911618
199	1.412328007
200	1.411239291
201	1.410181879
202	1.409002631
203	1.407563044
204	1.406494353
205	1.404524127
206	1.403452752
207	1.402169742
208	1.401125825
209	1.400553634
210	1.399253714
211	1.39799257
212	1.396525602
213	1.395519627
214	1.394478864
215	1.393203079
216	1.392482787
217	1.391642082
218	1.390029976
219	1.388886036
220	1.388055892
221	1.386684331
222	1.385927363
223	1.385214699
224	1.384189664
225	1.383396957
226	1.382170179
227	1.381191419
228	1.380218322
229	1.379482023
230	1.378126841
231	1.37666385
232	1.37578387
233	1.37416254
234	1.373046157
235	1.371828602
236	1.370266573
237	1.36927763
238	1.368256674
239	1.367202766
240	1.366450027
241	1.365592167
242	1.364530523
243	1.363486303
244	1.363046151
245	1.36249931
246	1.361675088
247	1.360620166
248	1.359830636
249	1.358526416
250	1.357495456
251	1.356746112
252	1.355655796
253	1.354857272
254	1.353802934
255	1.353087472
256	1.351700712
257	1.350798182
258	1.349598881
259	1.348816106
260	1.348191435
261	1.347425858
262	1.345852899
263	1.344625283
264	1.343707202
265	1.34267419
266	1.341070817
267	1.340288882
268	1.339585584
269	1.338550501
270	1.337771058
271	1.336482565
272	1.335331005
273	1.334945053
274	1.334103215
275	1.333278126
276	1.332567282
277	1.33203262
278	1.331217515
279	1.330390848
280	1.329267964
281	1.328555099
282	1.327450477
283	1.326639105
284	1.325749456
285	1.324610551
286	1.323681894
287	1.322765682
288	1.321940156
289	1.320814363
290	1.320071545
291	1.318807941
292	1.31813266
293	1.31701193
294	1.316136779
295	1.314700899
296	1.314196254
297	1.313146193
298	1.312508412
299	1.311664423
300	1.311269252
301	1.309947957
302	1.308837307
303	1.307970785
304	1.307214405
305	1.306417434
306	1.305624308
307	1.304638202
308	1.304049514
309	1.303185751
310	1.302708036
311	1.301824112
312	1.301096146
313	1.29995083
314	1.298534812
315	1.298062539
316	1.297487834
317	1.297102201
318	1.296350078
319	1.294900266
320	1.293856204
321	1.293321607
322	1.292427278
323	1.291581614
324	1.29083943
325	1.289968253
326	1.289431645
327	1.28885398
328	1.287678714
329	1.286180462
330	1.285233233
331	1.284125036
332	1.283313816
333	1.28235791
334	1.281692791
335	1.280859082
336	1.280318087
337	1.279686319
338	1.278313963
339	1.277857792
340	1.277244756
341	1.276604822
342	1.275484538
343	1.274559768
344	1.273703255
345	1.272989206
346	1.272068048
347	1.271470756
348	1.270467064
349	1.269954093
350	1.269471739
351	1.268954496
352	1.268274066
353	1.267619467
354	1.266536069
355	1.266332995
356	1.264926729
357	1.264068903
358	1.262815752
359	1.262270668
360	1.261529542
361	1.260975769
362	1.260342836
363	1.259679644
364	1.259113514
365	1.258068347
366	1.257615173
367	1.257140551
368	1.256108961
369	1.255412088
370	1.254513506
371	1.25402425
372	1.253346527
373	1.252618659
374	1.252257057
375	1.251557815
376	1.25129021
377	1.250634847
378	1.250120229
379	1.249596223
380	1.248940454
381	1.248230819
382	1.247491272
383	1.247051856
384	1.246221098
385	1.245496816
386	1.244690579
387	1.244373953
388	1.243555169
389	1.242650473
390	1.242017521
391	1.241482827
392	1.241049423
393	1.240596242
394	1.239995443
395	1.239627286
396	1.239118114
397	1.238135837
398	1.23737607
399	1.236616626
400	1.236162458
401	1.235482724
402	1.23497863
403	1.234165963
404	1.23330429
405	1.232575
406	1.231916065
407	1.231365538
408	1.230740895
409	1.23018305
410	1.229706253
411	1.228896989
412	1.228285892
413	1.227949872
414	1.227448645
415	1.226484044
416	1.225983088
417	1.225543969
418	1.224764557
419	1.22441767
420	1.223654499
421	1.223363804
422	1.222645176
423	1.222177065
424	1.221546342
425	1.220427956
426	1.21986056
427	1.218949894
428	1.218083934
429	1.217671466
430	1.217123466
431	1.216548172
432	1.215900301
433	1.215101082
434	1.214038651
435	1.213491633
436	1.213035818
437	1.212229488
438	1.211500765
439	1.210555857
440	1.210108384
441	1.209327137
442	1.208890893
443	1.208375691
444	1.207708722
445	1.206851856
446	1.206280234
447	1.205733447
448	1.205246339
449	1.204799874
450	1.204114683
451	1.203526382
452	1.202918768
453	1.202272507
454	1.201878978
455	1.201085483
456	1.200519344
457	1.199764534
458	1.198959089
459	1.198642986
460	1.198280058
461	1.197203176
462	1.196731523
463	1.195911913
464	1.194710906
465	1.1940662
466	1.193773828
467	1.19323986
468	1.192624543
469	1.191903224
470	1.191328658
471	1.190828283
472	1.190203476
473	1.189544823
474	1.189083648
475	1.188325642
476	1.18747161
477	1.186671767
478	1.185648208
479	1.18479517
480	1.184490925
481	1.184049423
482	1.183055282
483	1.182647217
484	1.182206553
485	1.181380241
486	1.181073992
487	1.180781627
488	1.180342978
489	1.179963537
490	1.179538805
491	1.179219907
492	1.178702491
493	1.178142771
494	1.177420606
495	1.176697788
496	1.17603097
497	1.175389923
498	1.17445498
499	1.173816162
500	1.173028052
501	1.172603639
502	1.172220959
503	1.171504384
504	1.170940029
505	1.170333845
506	1.169928993
507	1.16970414
508	1.169112491
509	1.16829712
510	1.167662714
511	1.166649242
512	1.165781248
513	1.164985426
514	1.164197148
515	1.163643713
516	1.162815232
517	1.162569595
518	1.162112751
519	1.161741465
520	1.161390875
521	1.16089799
522	1.160214176
523	1.15952177
524	1.15914411
525	1.158820129
526	1.158232238
527	1.158073366
528	1.157625149
529	1.157245577
530	1.156882688
531	1.156531686
532	1.155986173
533	1.155544092
534	1.155227999
535	1.154532784
536	1.154216869
537	1.153593009
538	1.152918027
539	1.152644606
540	1.152312297
541	1.151683256
542	1.151118543
543	1.150146673
544	1.149866087
545	1.149602734
546	1.149243427
547	1.148799743
548	1.148346137
549	1.148065281
550	1.147317109
551	1.146906633
552	1.146717525
553	1.146317261
554	1.145911744
555	1.145187142
556	1.144700279
557	1.143739845
558	1.143370405
559	1.143005437
560	1.142749093
561	1.141645236
562	1.141328806
563	1.140686696
564	1.140416121
565	1.13950055
566	1.139073567
567	1.138751955
568	1.138207296
569	1.137668986
570	1.137146666
571	1.13687372
572	1.13619008
573	1.135650686
574	1.134892201
575	1.134763222
576	1.134335936
577	1.133846566
578	1.133691781
579	1.133069794
580	1.13282718
581	1.132230153
582	1.131533412
583	1.130977989
584	1.129954649
585	1.129212642
586	1.128324622
587	1.127827768
588	1.12766602
589	1.12727048
590	1.126794327
591	1.12619049
592	1.125435564
593	1.124858548
594	1.124529996
595	1.124055457
596	1.123307033
597	1.122823629
598	1.122573209
599	1.122053225
600	1.121683918
601	1.121083949
602	1.120931423
603	1.12074669
604	1.120189034
605	1.119706793
606	1.119257222
607	1.118876491
608	1.118407562
609	1.117897101
610	1.117437492
611	1.11670853
612	1.116246193
613	1.115972051
614	1.115356185
615	1.114897552
616	1.114409168
617	1.113932159
618	1.113176675
619	1.112995441
620	1.112516118
621	1.111656452
622	1.111328249
623	1.110569505
624	1.110120177
625	1.109402036
626	1.109059533
627	1.10888155
628	1.108517565
629	1.108166821
630	1.107741073
631	1.107338782
632	1.106779319
633	1.106104995
634	1.105950742
635	1.105498363
636	1.105034152
637	1.104433367
638	1.104060622
639	1.103446326
640	1.103047453
641	1.102299254
642	1.101609482
643	1.10112652
644	1.100500515
645	1.100080897
646	1.09955951
647	1.099062318
648	1.098522912
649	1.098299408
650	1.097948915
651	1.097672735
652	1.096766422
653	1.096414794
654	1.095865503
655	1.095679474
656	1.095210553
657	1.094558041
658	1.09380786
659	1.093314047
660	1.092764513
661	1.092350422
662	1.092004336
663	1.091578746
664	1.090995001
665	1.090310555
666	1.090007217
667	1.089756585
668	1.089409215
669	1.088978847
670	1.088466142
671	1.087977434
672	1.087551913
673	1.087385284
674	1.087033601
675	1.086807882
676	1.086221451
677	1.085818584
678	1.085373539
679	1.08511508
680	1.084608423
681	1.084384943
682	1.084054391
683	1.083550507
684	1.083176226
685	1.082813123
686	1.082583034
687	1.08202108
688	1.081489168
689	1.080915507
690	1.080722781
691	1.080274841
692	1.079864959
693	1.079497839
694	1.078828876
695	1.078415489
696	1.077974728
697	1.077537243
698	1.077342771
699	1.077182676
700	1.076967374
701	1.076516554
702	1.076290317
703	1.075979596
704	1.075692513
705	1.075469154
706	1.075100497
707	1.074888359
708	1.074447838
709	1.073862109
710	1.073358769
711	1.072907272
712	1.072342798
713	1.072029086
714	1.071591598
715	1.071170269
716	1.070783369
717	1.070261668
718	1.069975971
719	1.069527094
720	1.068961054
721	1.06873568
722	1.067975535
723	1.067702825
724	1.067218481
725	1.066429729
726	1.0661423
727	1.065551112
728	1.065264528
729	1.064708776
730	1.064276752
731	1.063881899
732	1.063365542
733	1.063206063
734	1.062782189
735	1.062314778
736	1.061785064
737	1.061337693
738	1.060871946
739	1.060580019
740	1.059947536
741	1.059499438
742	1.058962795
743	1.058777215
744	1.058563011
745	1.058233592
746	1.057723645
747	1.057523876
748	1.057323018
749	1.057104055
750	1.05692408
751	1.056328048
752	1.056035438
753	1.05546256
754	1.055142877
755	1.054709128
756	1.054512514
757	1.053837077
758	1.053574443
759	1.053008254
760	1.052677543
761	1.052510193
762	1.052194235
763	1.05192359
764	1.051681736
765	1.051141591
766	1.05071529
767	1.050161864
768	1.049864956
769	1.049504399
770	1.049122238
771	1.048632126
772	1.048312402
773	1.048108202
774	1.047788171
775	1.04737318
776	1.046890024
777	1.046568757
778	1.046329469
779	1.045876396
780	1.045525613
781	1.045301314
782	1.045073765
783	1.044657441
784	1.044382991
785	1.044108238
786	1.043750261
787	1.042957276
788	1.042680576
789	1.042183784
790	1.041628916
791	1.041405789
792	1.040954019
793	1.040623982
794	1.040081697
795	1.039679618
796	1.039179445
797	1.038765042
798	1.038504612
799	1.038156198
800	1.03799499
801	1.037455473
802	1.03712505
803	1.036942145
804	1.0365444
805	1.03630595
806	1.036154955
807	1.035655359
808	1.035344092
809	1.034863037
810	1.034583432
811	1.034237908
812	1.033808956
813	1.033314417
814	1.032493869
815	1.032174163
816	1.031863166
817	1.031441577
818	1.030916513
819	1.030574865
820	1.030327506
821	1.030047971
822	1.029606047
823	1.029470729
824	1.029252766
825	1.028978108
826	1.028611203
827	1.028337703
828	1.027890874
829	1.027602311
830	1.027333656
831	1.026910991
832	1.026581349
833	1.026083959
834	1.025746619
835	1.025556669
836	1.025328398
837	1.025055835
838	1.024884698
839	1.024495669
840	1.024011307
841	1.023832777
842	1.023575596
843	1.023246155
844	1.022786956
845	1.022628874
846	1.02247403
847	1.022301926
