iter	Passed	Remaining
446	2685	2409
447	2691	2403
448	2696	2396
449	2702	2389
450	2707	2383
451	2712	2376
452	2717	2369
453	2722	2363
454	2728	2356
455	2733	2350
456	2739	2344
457	2745	2337
458	2751	2331
459	2757	2325
460	2762	2319
461	2768	2313
462	2775	2307
463	2781	2302
464	2787	2296
465	2793	2290
466	2800	2284
467	2806	2278
468	2812	2272
469	2818	2266
470	2824	2261
471	2831	2255
472	2838	2250
473	2846	2245
474	2852	2240
475	2859	2234
476	2867	2230
477	2874	2225
478	2881	2219
479	2888	2214
480	2893	2207
481	2898	2201
482	2904	2194
483	2909	2187
484	2915	2181
485	2920	2175
486	2927	2169
487	2932	2163
488	2938	2157
489	2944	2151
490	2950	2145
491	2955	2138
492	2961	2132
493	2967	2126
494	2973	2120
495	2979	2114
496	2985	2108
497	2990	2101
498	2996	2095
499	3001	2089
500	3007	2083
501	3013	2077
502	3019	2071
503	3025	2065
504	3031	2058
505	3036	2052
506	3042	2046
507	3048	2040
508	3053	2033
509	3059	2027
510	3065	2021
511	3071	2015
512	3077	2009
513	3082	2003
514	3088	1996
515	3093	1990
516	3099	1984
517	3104	1977
518	3109	1971
519	3115	1965
520	3120	1958
521	3126	1952
522	3132	1946
523	3137	1939
524	3142	1933
525	3147	1926
526	3153	1920
527	3158	1914
528	3164	1908
529	3169	1901
530	3175	1895
531	3180	1889
532	3186	1883
533	3192	1877
534	3198	1871
535	3204	1865
536	3209	1858
537	3215	1852
538	3221	1846
539	3226	1840
540	3232	1834
541	3238	1828
542	3243	1822
543	3249	1816
544	3255	1809
545	3260	1803
546	3266	1797
547	3271	1791
548	3277	1784
549	3282	1778
550	3287	1772
551	3293	1765
552	3298	1759
553	3303	1753
554	3309	1746
555	3314	1740
556	3319	1734
557	3324	1727
558	3330	1721
559	3335	1715
560	3340	1708
561	3345	1702
562	3350	1696
563	3355	1689
564	3360	1683
565	3366	1677
566	3371	1670
567	3376	1664
568	3381	1658
569	3386	1651
570	3391	1645
571	3397	1639
572	3402	1632
573	3407	1626
574	3412	1620
575	3417	1613
576	3423	1607
577	3428	1601
578	3433	1595
579	3439	1589
580	3444	1582
581	3449	1576
582	3455	1570
583	3461	1564
584	3467	1558
585	3473	1552
586	3479	1546
587	3485	1541
588	3491	1535
589	3497	1529
590	3503	1523
591	3508	1517
592	3514	1511
593	3519	1505
594	3525	1499
595	3531	1493
596	3537	1487
597	3542	1481
598	3548	1475
599	3553	1468
600	3559	1462
601	3564	1456
602	3570	1450
603	3575	1444
604	3580	1438
605	3586	1432
606	3591	1426
607	3597	1419
608	3602	1413
609	3607	1407
610	3612	1401
611	3617	1395
612	3623	1388
613	3628	1382
614	3633	1376
615	3638	1370
616	3643	1364
617	3648	1357
618	3653	1351
619	3658	1345
620	3664	1339
621	3669	1333
622	3675	1327
623	3682	1321
624	3687	1315
625	3693	1309
626	3699	1304
627	3705	1298
628	3711	1292
629	3717	1286
630	3722	1280
631	3728	1274
632	3734	1268
633	3740	1262
634	3745	1256
635	3751	1250
636	3756	1244
637	3761	1238
638	3766	1232
639	3772	1226
640	3777	1220
641	3784	1214
642	3790	1208
643	3795	1202
644	3801	1196
645	3807	1190
646	3812	1184
647	3818	1178
648	3824	1172
649	3829	1166
650	3833	1160
651	3839	1154
652	3844	1148
653	3850	1142
654	3855	1136
655	3861	1130
656	3866	1124
657	3872	1118
658	3878	1112
659	3884	1106
660	3890	1100
661	3895	1094
662	3901	1088
663	3906	1082
664	3912	1076
665	3918	1070
666	3923	1064
667	3929	1058
668	3934	1052
669	3940	1046
670	3945	1040
671	3950	1034
672	3955	1028
673	3960	1022
674	3966	1016
675	3972	1010
676	3978	1004
677	3983	998
678	3989	992
679	3994	986
680	3999	980
681	4004	974
682	4009	968
683	4014	962
684	4019	956
685	4025	950
686	4031	944
687	4037	938
688	4043	933
689	4048	927
690	4054	921
691	4060	915
692	4067	909
693	4073	903
694	4079	898
695	4086	892
696	4091	886
697	4096	880
698	4101	874
699	4106	868
700	4111	862
701	4116	856
702	4121	850
703	4126	844
704	4131	838
705	4136	832
706	4141	826
707	4146	820
708	4152	814
709	4157	808
710	4162	802
711	4168	796
712	4174	790
713	4181	784
714	4187	778
715	4193	773
716	4198	767
717	4203	761
718	4208	755
719	4213	749
720	4219	743
721	4224	737
722	4229	731
723	4234	725
724	4239	719
725	4244	713
726	4250	707
727	4255	701
728	4260	695
729	4265	689
730	4270	683
731	4276	677
732	4281	671
733	4286	665
734	4291	659
735	4296	653
736	4301	647
737	4306	641
738	4311	635
739	4316	630
740	4322	624
741	4327	618
742	4332	612
743	4337	606
744	4342	600
745	4347	594
746	4352	588
747	4358	582
748	4363	576
749	4368	570
750	4373	564
751	4379	559
752	4384	553
753	4389	547
754	4395	541
755	4400	535
756	4406	529
757	4412	523
758	4417	518
759	4422	512
760	4427	506
761	4432	500
762	4437	494
763	4442	488
764	4447	482
765	4452	476
766	4457	470
767	4462	464
768	4467	458
769	4472	453
770	4478	447
771	4484	441
772	4489	435
773	4495	429
774	4500	423
775	4505	418
776	4511	412
777	4516	406
778	4522	400
779	4528	394
780	4533	388
781	4539	383
782	4545	377
783	4551	371
784	4556	365
785	4562	359
786	4568	354
787	4575	348
788	4581	342
789	4588	336
790	4594	331
791	4600	325
792	4605	319
793	4611	313
794	4617	307
795	4623	302
796	4628	296
797	4634	290
798	4640	284
799	4646	278
800	4651	272
801	4657	267
802	4662	261
803	4667	255
804	4673	249
805	4678	243
806	4684	237
807	4690	232
808	4695	226
809	4700	220
810	4705	214
811	4711	208
812	4716	203
813	4722	197
814	4728	191
815	4733	185
816	4738	179
817	4744	174
818	4749	168
819	4755	162
820	4760	156
821	4766	150
822	4771	144
823	4777	139
824	4782	133
825	4788	127
826	4793	121
827	4799	115
828	4805	110
829	4811	104
830	4817	98
831	4822	92
832	4827	86
833	4833	81
834	4838	75
835	4843	69
836	4849	63
837	4854	57
838	4859	52
839	4865	46
840	4870	40
841	4876	34
842	4881	28
843	4886	23
844	4897	17
845	4905	11
846	4913	5
847	4921	0
